index,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,naver_store_type,naver_star_point,visitor_review,naver_blog_review_qty,office_review
0,디에이블,양식,정통양식/경양식,서양식 음식점업,중동,35.15725108,129.1767808,양식정통양식 경양식서양식 음식점업,중동%20디에이블,https://m.place.naver.com/restaurant/48003777,양식,4.44,1001,1089,0
1,뉴욕버거,패스트푸드,패스트푸드,그외 기타 음식점업,중동,35.16604015,129.1674015,패스트푸드패스트푸드그외 기타 음식점업,중동%20뉴욕버거,https://m.place.naver.com/restaurant/33880194,햄버거,4.46,1648,1703,0
2,버거인뉴욕,한식,한식/백반/한정식,한식 음식점업,중동,35.16094615,129.1647164,한식한식 백반 한정식한식 음식점업,중동%20버거인뉴욕,https://m.place.naver.com/restaurant/33880194,햄버거,4.46,1648,1703,0
3,혜성막창집,한식,곱창/양구이전문,한식 음식점업,중동,35.1639163,129.1632988,한식곱창 양구이전문한식 음식점업,중동%20혜성막창집,https://m.place.naver.com/restaurant/17004490,"곱창,막창,양",4.2,1532,1723,0
4,해성막창집,한식,곱창/양구이전문,한식 음식점업,중동,35.16155725,129.1658447,한식곱창 양구이전문한식 음식점업,중동%20해성막창집,https://m.place.naver.com/restaurant/17004490,"곱창,막창,양",4.2,1532,1723,0
5,해성막창,한식,곱창/양구이전문,한식 음식점업,중동,35.1639163,129.1632988,한식곱창 양구이전문한식 음식점업,중동%20해성막창,https://m.place.naver.com/restaurant/17004490,"곱창,막창,양",4.2,1532,1723,0
6,바다횟집,일식/수산물,횟집,한식 음식점업,중동,35.16121658,129.1618994,일식 수산물횟집한식 음식점업,중동%20바다횟집,https://m.place.naver.com/restaurant/18799565,생선회,4.37,1443,1858,0
7,해운식당,한식,한식/백반/한정식,한식 음식점업,중동,35.16228646,129.1668759,한식한식 백반 한정식한식 음식점업,중동%20해운식당,https://m.place.naver.com/restaurant/11833359,"치킨,닭강정",4.38,14,1,0
8,불오뎅,유흥주점,소주방/포장마차,기타 주점업,중동,35.16223211,129.1631541,유흥주점소주방 포장마차기타 주점업,중동%20불오뎅,https://m.place.naver.com/restaurant/37045974,떡볶이,4.12,14,1,0
9,안녕커피sea,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16283631,129.1621858,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20안녕커피sea,https://m.place.naver.com/restaurant/1529203209,"카페,디저트",4.83,18,1,0
10,오산추어탕,한식,추어탕전문,한식 음식점업,중동,35.1627216,129.1740826,한식추어탕전문한식 음식점업,중동%20오산추어탕,https://m.place.naver.com/restaurant/1091408924,추어탕,4.06,20,1,0
11,미소,양식,정통양식/경양식,서양식 음식점업,중동,35.15982783,129.1833815,양식정통양식 경양식서양식 음식점업,중동%20미소,https://m.place.naver.com/restaurant/13021443,미용실,3.97,21,1,0
12,멕시카나,닭/오리요리,후라이드/양념치킨,치킨 전문점,중동,35.16029666,129.1619521,닭 오리요리후라이드 양념치킨치킨 전문점,중동%20멕시카나,https://m.place.naver.com/restaurant/1322821420,"치킨,닭강정",4.3,36,1,0
13,팔공티,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16604015,129.1674015,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20팔공티,https://m.place.naver.com/restaurant/1201833172,차,4.41,398,1,0
14,몸차,커피점/카페,전통찻집/인삼찻집,비알콜 음료점업,중동,35.16264515,129.1623807,커피점 카페전통찻집 인삼찻집비알콜 음료점업,중동%20몸차,https://m.place.naver.com/restaurant/1099591379,"카페,디저트",4.45,46,1,0
15,동해식당,한식,한식/백반/한정식,한식 음식점업,중동,35.17137251,129.1724615,한식한식 백반 한정식한식 음식점업,중동%20동해식당,https://m.place.naver.com/restaurant/18759721,기사식당,4.22,58,1,0
